capacitity,red,green,blue,label
416.6,0.3189,0.3309,0.3501,WATER
421.2,0.3189,0.3309,0.3501,WATER
420.0,0.3189,0.3309,0.3501,WATER
418.6,0.3198,0.3294,0.3509,WATER
418.0,0.3198,0.3294,0.3509,WATER
418.0,0.3215,0.3286,0.3499,WATER
408.8,0.3215,0.3286,0.3499,WATER
413.6,0.3239,0.3287,0.3474,WATER
413.4,0.3239,0.3287,0.3474,WATER
414.6,0.3247,0.3294,0.3459,WATER
414.4,0.3247,0.3294,0.3459,WATER
419.4,0.3247,0.3294,0.3459,WATER
415.4,0.3247,0.3294,0.3459,WATER
415.6,0.3239,0.331,0.3451,WATER
415.6,0.3239,0.331,0.3451,WATER
415.4,0.323,0.3325,0.3444,WATER
415.6,0.323,0.3325,0.3444,WATER
415.2,0.3223,0.3318,0.346,WATER
415.6,0.3223,0.3318,0.346,WATER
414.0,0.3231,0.3302,0.3467,WATER
413.4,0.3231,0.3302,0.3467,WATER
412.6,0.3232,0.3302,0.3466,WATER
412.4,0.3232,0.3302,0.3466,WATER
412.6,0.3233,0.3302,0.3465,WATER
414.0,0.3233,0.3302,0.3465,WATER
414.6,0.3241,0.3287,0.3472,WATER
416.4,0.3241,0.3287,0.3472,WATER
416.4,0.3233,0.3302,0.3464,WATER
416.0,0.3233,0.3302,0.3464,WATER
415.8,0.3225,0.3318,0.3457,WATER
416.8,0.3225,0.3318,0.3457,WATER
415.6,0.3233,0.3302,0.3465,WATER
415.8,0.3233,0.3302,0.3465,WATER
417.0,0.3239,0.3286,0.3474,WATER
417.2,0.3239,0.3286,0.3474,WATER
416.6,0.3247,0.3294,0.346,WATER
417.0,0.3247,0.3294,0.346,WATER
416.8,0.3246,0.3294,0.346,WATER
415.4,0.3246,0.3294,0.346,WATER
415.4,0.3246,0.3294,0.346,WATER
415.2,0.3246,0.3294,0.346,WATER
414.4,0.3246,0.3294,0.346,WATER
414.4,0.3246,0.3294,0.346,WATER
414.8,0.3247,0.3294,0.3459,WATER
414.2,0.3247,0.3294,0.3459,WATER
414.8,0.3232,0.3302,0.3466,WATER
415.0,0.3232,0.3302,0.3466,WATER
415.2,0.324,0.3287,0.3473,WATER
415.0,0.324,0.3287,0.3473,WATER
416.6,0.3241,0.3287,0.3472,WATER
416.4,0.3241,0.3287,0.3472,WATER
416.6,0.3225,0.3294,0.3481,WATER
416.4,0.3225,0.3294,0.3481,WATER
416.4,0.3209,0.3302,0.3489,WATER
415.4,0.3209,0.3302,0.3489,WATER
415.4,0.3201,0.3294,0.3505,WATER
415.6,0.3201,0.3294,0.3505,WATER
415.0,0.3185,0.3302,0.3513,WATER
414.6,0.3185,0.3302,0.3513,WATER
