capacitity,red,green,blue
404.60,0.5669,0.1969,0.2362
404.40,0.5669,0.1969,0.2362
403.80,0.5669,0.1969,0.2362
402.80,0.5669,0.1969,0.2362
403.40,0.5669,0.1969,0.2362
403.60,0.5669,0.1969,0.2362
404.20,0.5669,0.1969,0.2362
405.00,0.5652,0.1976,0.2372
406.20,0.5652,0.1976,0.2372
406.00,0.5675,0.1985,0.2341
405.80,0.5675,0.1985,0.2341
405.60,0.5680,0.2001,0.2319
404.80,0.5680,0.2001,0.2319
404.00,0.5686,0.2017,0.2298
403.60,0.5686,0.2017,0.2298
404.00,0.5715,0.1999,0.2285
403.60,0.5715,0.1999,0.2285
403.40,0.5762,0.1974,0.2264
404.40,0.5762,0.1974,0.2264
405.20,0.5768,0.1949,0.2283
404.80,0.5768,0.1949,0.2283
405.20,0.5774,0.1924,0.2302
405.40,0.5774,0.1924,0.2302
405.20,0.5762,0.1907,0.2331
404.80,0.5762,0.1907,0.2331
405.20,0.5725,0.1924,0.2351
405.00,0.5725,0.1924,0.2351
405.00,0.5708,0.1932,0.2361
404.80,0.5708,0.1932,0.2361
404.80,0.5684,0.1965,0.2351
404.60,0.5684,0.1965,0.2351
405.00,0.5684,0.1965,0.2351
405.40,0.5684,0.1965,0.2351
405.20,0.5702,0.1957,0.2341
406.20,0.5702,0.1957,0.2341
405.60,0.5721,0.1949,0.2331
405.40,0.5721,0.1949,0.2331
405.20,0.5721,0.1949,0.2331
405.60,0.5721,0.1949,0.2331
405.20,0.5745,0.1915,0.2340
405.60,0.5745,0.1915,0.2340
405.40,0.5726,0.1923,0.2351
405.20,0.5726,0.1923,0.2351
405.20,0.5708,0.1932,0.2361
404.80,0.5708,0.1932,0.2361
404.40,0.5708,0.1932,0.2361
403.60,0.5708,0.1932,0.2361
403.40,0.5708,0.1932,0.2361
403.20,0.5708,0.1932,0.2361
403.00,0.5689,0.1940,0.2371
403.40,0.5689,0.1940,0.2371
404.40,0.5708,0.1932,0.2361
404.20,0.5708,0.1932,0.2361
405.20,0.5726,0.1923,0.2351
405.00,0.5726,0.1923,0.2351
404.80,0.5726,0.1923,0.2351
405.00,0.5726,0.1923,0.2351
406.20,0.5708,0.1932,0.2361
405.40,0.5708,0.1932,0.2361
405.20,0.5708,0.1932,0.2361
404.60,0.5708,0.1932,0.2361
405.00,0.5708,0.1932,0.2361
404.40,0.5708,0.1932,0.2361
404.60,0.5689,0.1940,0.2371
404.60,0.5689,0.1940,0.2371
405.80,0.5671,0.1948,0.2381
405.00,0.5671,0.1948,0.2381
404.00,0.5696,0.1957,0.2347
403.60,0.5696,0.1957,0.2347
404.00,0.5721,0.1966,0.2313
403.60,0.5721,0.1966,0.2313
403.80,0.5702,0.1974,0.2324
404.60,0.5702,0.1974,0.2324
404.40,0.5702,0.1974,0.2324
403.80,0.5702,0.1974,0.2324
403.60,0.5702,0.1974,0.2324
403.00,0.5702,0.1974,0.2324
402.80,0.5702,0.1974,0.2324
403.40,0.5702,0.1974,0.2324
403.60,0.5702,0.1974,0.2324
404.40,0.5702,0.1974,0.2324
404.60,0.5728,0.1983,0.2290
405.20,0.5728,0.1983,0.2290
404.80,0.5746,0.1974,0.2280
404.80,0.5746,0.1974,0.2280
402.80,0.5758,0.1991,0.2250
403.00,0.5758,0.1991,0.2250
402.80,0.5728,0.2008,0.2264
402.80,0.5728,0.2008,0.2264
403.20,0.5697,0.2024,0.2278
404.40,0.5697,0.2024,0.2278
404.60,0.5662,0.2024,0.2314
404.20,0.5662,0.2024,0.2314
403.00,0.5656,0.2050,0.2295
402.80,0.5656,0.2050,0.2295
403.00,0.5633,0.2041,0.2326
402.60,0.5633,0.2041,0.2326
402.40,0.5633,0.2041,0.2326
403.20,0.5633,0.2041,0.2326
403.20,0.5651,0.2033,0.2316
403.00,0.5651,0.2033,0.2316
403.60,0.5674,0.2041,0.2285
404.40,0.5674,0.2041,0.2285
404.60,0.5674,0.2041,0.2285
404.80,0.5674,0.2041,0.2285
405.00,0.5674,0.2041,0.2285
404.80,0.5674,0.2041,0.2285
405.00,0.5691,0.2033,0.2276
405.20,0.5691,0.2033,0.2276
404.80,0.5669,0.2024,0.2307
404.20,0.5669,0.2024,0.2307
404.20,0.5651,0.2033,0.2316
403.60,0.5651,0.2033,0.2316
403.40,0.5628,0.2025,0.2347
403.40,0.5628,0.2025,0.2347
403.60,0.5633,0.2041,0.2326
402.40,0.5633,0.2041,0.2326
402.00,0.5610,0.2033,0.2357
401.80,0.5610,0.2033,0.2357
402.40,0.5610,0.2033,0.2357
403.00,0.5610,0.2033,0.2357
404.20,0.5628,0.2025,0.2347
404.60,0.5628,0.2025,0.2347
405.00,0.5651,0.2033,0.2316
404.80,0.5651,0.2033,0.2316
404.40,0.5651,0.2033,0.2316
404.20,0.5651,0.2033,0.2316
404.20,0.5674,0.2041,0.2285
404.60,0.5674,0.2041,0.2285
404.20,0.5696,0.2049,0.2254
402.60,0.5696,0.2049,0.2254
402.60,0.5696,0.2049,0.2254
402.60,0.5696,0.2049,0.2254
402.20,0.5696,0.2049,0.2254
402.20,0.5696,0.2049,0.2254
404.00,0.5714,0.2041,0.2245
404.00,0.5714,0.2041,0.2245
404.00,0.5696,0.2049,0.2254
404.60,0.5696,0.2049,0.2254
404.60,0.5679,0.2058,0.2264
408.40,0.5679,0.2058,0.2264
408.20,0.5679,0.2058,0.2264
409.00,0.5679,0.2058,0.2264
408.40,0.5679,0.2058,0.2264
408.60,0.5679,0.2058,0.2264
404.80,0.5673,0.2042,0.2285
406.40,0.5673,0.2042,0.2285
406.40,0.5668,0.2025,0.2307
406.60,0.5668,0.2025,0.2307
406.60,0.5686,0.2017,0.2298
406.40,0.5686,0.2017,0.2298
404.60,0.5668,0.2025,0.2307
404.60,0.5668,0.2025,0.2307
404.60,0.5650,0.2034,0.2316
404.40,0.5650,0.2034,0.2316
406.20,0.5662,0.2024,0.2314
407.40,0.5662,0.2024,0.2314
407.00,0.5685,0.2033,0.2283
407.20,0.5685,0.2033,0.2283
407.60,0.5691,0.2007,0.2302
406.00,0.5691,0.2007,0.2302
404.40,0.5715,0.1974,0.2312
404.40,0.5715,0.1974,0.2312
404.00,0.5739,0.1940,0.2321
404.00,0.5739,0.1940,0.2321
400.00,0.5764,0.1948,0.2288
400.60,0.5764,0.1948,0.2288
399.80,0.5795,0.1932,0.2274
400.00,0.5795,0.1932,0.2274
399.60,0.5801,0.1949,0.2250
403.00,0.5801,0.1949,0.2250
403.20,0.5808,0.1966,0.2227
403.00,0.5808,0.1966,0.2227
402.80,0.5833,0.1974,0.2193
403.20,0.5833,0.1974,0.2193
398.20,0.5814,0.1983,0.2203
398.20,0.5814,0.1983,0.2203
398.60,0.5790,0.1974,0.2236
398.80,0.5790,0.1974,0.2236
399.00,0.5783,0.1957,0.2260
404.80,0.5783,0.1957,0.2260
404.80,0.5776,0.1940,0.2283
405.00,0.5776,0.1940,0.2283
404.80,0.5758,0.1949,0.2293
404.40,0.5758,0.1949,0.2293
404.20,0.5751,0.1932,0.2317
404.40,0.5751,0.1932,0.2317
404.20,0.5751,0.1932,0.2317
404.40,0.5751,0.1932,0.2317
404.80,0.5751,0.1932,0.2317
404.60,0.5751,0.1932,0.2317
404.00,0.5769,0.1924,0.2307
404.00,0.5769,0.1924,0.2307
