capacitity,red,green,blue
400.60,0.4142,0.3138,0.2720
401.60,0.4142,0.3138,0.2720
402.60,0.4142,0.3138,0.2720
402.60,0.4117,0.3152,0.2731
402.40,0.4117,0.3152,0.2731
401.60,0.4142,0.3138,0.2720
402.60,0.4142,0.3138,0.2720
401.00,0.4142,0.3138,0.2720
401.40,0.4142,0.3138,0.2720
401.80,0.4117,0.3152,0.2731
402.60,0.4117,0.3152,0.2731
401.80,0.4117,0.3152,0.2731
402.60,0.4117,0.3152,0.2731
402.40,0.4142,0.3138,0.2720
402.00,0.4142,0.3138,0.2720
401.60,0.4117,0.3152,0.2731
401.00,0.4117,0.3152,0.2731
400.20,0.4117,0.3152,0.2731
394.00,0.4117,0.3152,0.2731
394.60,0.4142,0.3138,0.2720
395.40,0.4142,0.3138,0.2720
394.20,0.4117,0.3152,0.2731
394.80,0.4117,0.3152,0.2731
401.00,0.4117,0.3152,0.2731
400.80,0.4117,0.3152,0.2731
399.60,0.4142,0.3138,0.2720
401.20,0.4142,0.3138,0.2720
401.60,0.4142,0.3138,0.2720
401.60,0.4142,0.3138,0.2720
402.00,0.4142,0.3138,0.2720
401.60,0.4142,0.3138,0.2720
402.00,0.4167,0.3125,0.2708
402.40,0.4167,0.3125,0.2708
400.00,0.4167,0.3125,0.2708
399.80,0.4167,0.3125,0.2708
399.40,0.4167,0.3125,0.2708
399.20,0.4167,0.3125,0.2708
398.80,0.4167,0.3125,0.2708
400.40,0.4167,0.3125,0.2708
400.00,0.4167,0.3125,0.2708
400.60,0.4167,0.3125,0.2708
400.00,0.4167,0.3125,0.2708
398.80,0.4167,0.3125,0.2708
399.80,0.4142,0.3138,0.2720
399.80,0.4142,0.3138,0.2720
399.20,0.4117,0.3152,0.2731
399.20,0.4117,0.3152,0.2731
401.00,0.4117,0.3152,0.2731
400.60,0.4117,0.3152,0.2731
400.60,0.4092,0.3165,0.2743
398.60,0.4092,0.3165,0.2743
399.20,0.4067,0.3178,0.2754
398.60,0.4067,0.3178,0.2754
398.40,0.4067,0.3178,0.2754
403.40,0.4067,0.3178,0.2754
410.40,0.4092,0.3165,0.2743
409.60,0.4092,0.3165,0.2743
409.40,0.4092,0.3165,0.2743
409.80,0.4092,0.3165,0.2743
404.60,0.4117,0.3152,0.2731
400.00,0.4117,0.3152,0.2731
400.20,0.4117,0.3152,0.2731
400.20,0.4117,0.3152,0.2731
400.60,0.4142,0.3138,0.2720
401.00,0.4142,0.3138,0.2720
401.60,0.4117,0.3152,0.2731
402.40,0.4117,0.3152,0.2731
399.20,0.4092,0.3165,0.2743
398.80,0.4092,0.3165,0.2743
397.20,0.4092,0.3165,0.2743
397.40,0.4092,0.3165,0.2743
396.80,0.4092,0.3165,0.2743
402.20,0.4092,0.3165,0.2743
402.20,0.4067,0.3178,0.2754
403.20,0.4067,0.3178,0.2754
403.00,0.4092,0.3165,0.2743
401.80,0.4092,0.3165,0.2743
399.20,0.4092,0.3165,0.2743
399.80,0.4092,0.3165,0.2743
400.60,0.4092,0.3165,0.2743
401.00,0.4092,0.3165,0.2743
405.20,0.4092,0.3165,0.2743
406.20,0.4092,0.3165,0.2743
405.40,0.4117,0.3152,0.2731
405.00,0.4117,0.3152,0.2731
404.80,0.4092,0.3165,0.2743
402.20,0.4092,0.3165,0.2743
402.20,0.4092,0.3165,0.2743
402.80,0.4092,0.3165,0.2743
403.20,0.4103,0.3162,0.2735
403.40,0.4103,0.3162,0.2735
403.20,0.4103,0.3162,0.2735
402.80,0.4103,0.3162,0.2735
402.60,0.4096,0.3146,0.2758
402.40,0.4096,0.3146,0.2758
402.00,0.4096,0.3146,0.2758
403.80,0.4096,0.3146,0.2758
404.00,0.4096,0.3146,0.2758
403.60,0.4096,0.3146,0.2758
403.80,0.4096,0.3146,0.2758
404.20,0.4096,0.3146,0.2758
402.00,0.4096,0.3146,0.2758
401.80,0.4096,0.3146,0.2758
402.00,0.4096,0.3146,0.2758
401.40,0.4096,0.3146,0.2758
400.80,0.4096,0.3146,0.2758
401.40,0.4096,0.3146,0.2758
401.40,0.4096,0.3146,0.2758
401.20,0.4096,0.3146,0.2758
401.60,0.4060,0.3162,0.2778
401.40,0.4060,0.3162,0.2778
401.20,0.4060,0.3162,0.2778
401.20,0.4060,0.3162,0.2778
400.00,0.4043,0.3191,0.2766
399.60,0.4043,0.3191,0.2766
400.60,0.4043,0.3191,0.2766
401.60,0.4043,0.3191,0.2766
401.80,0.4043,0.3191,0.2766
403.00,0.4043,0.3191,0.2766
403.00,0.4060,0.3162,0.2778
402.80,0.4060,0.3162,0.2778
401.40,0.4060,0.3162,0.2778
400.00,0.4060,0.3162,0.2778
400.40,0.4060,0.3162,0.2778
400.80,0.4060,0.3162,0.2778
400.80,0.4060,0.3162,0.2778
401.00,0.4060,0.3162,0.2778
402.40,0.4060,0.3162,0.2778
400.60,0.4060,0.3162,0.2778
400.20,0.4067,0.3178,0.2754
400.60,0.4067,0.3178,0.2754
400.80,0.4067,0.3178,0.2754
400.60,0.4067,0.3178,0.2754
402.00,0.4092,0.3165,0.2743
404.80,0.4092,0.3165,0.2743
404.40,0.4092,0.3165,0.2743
404.40,0.4092,0.3165,0.2743
404.20,0.4092,0.3165,0.2743
404.20,0.4092,0.3165,0.2743
401.60,0.4092,0.3165,0.2743
401.60,0.4092,0.3165,0.2743
401.80,0.4117,0.3152,0.2731
401.60,0.4117,0.3152,0.2731
401.60,0.4117,0.3152,0.2731
