capacitity,red,green,blue
400.00,0.5971,0.1144,0.2885
399.80,0.5971,0.1144,0.2885
400.80,0.6013,0.1127,0.2860
400.80,0.6013,0.1127,0.2860
399.60,0.6047,0.1124,0.2829
399.60,0.6047,0.1124,0.2829
399.60,0.6013,0.1139,0.2848
395.60,0.6013,0.1139,0.2848
394.80,0.5993,0.1135,0.2871
398.80,0.5993,0.1135,0.2871
399.60,0.6018,0.1115,0.2867
399.20,0.6018,0.1115,0.2867
402.40,0.6005,0.1119,0.2876
403.00,0.6005,0.1119,0.2876
400.00,0.5987,0.1133,0.2880
397.80,0.5987,0.1133,0.2880
398.00,0.6025,0.1122,0.2853
397.80,0.6025,0.1122,0.2853
398.00,0.6019,0.1115,0.2866
398.40,0.6019,0.1115,0.2866
400.00,0.6005,0.1119,0.2875
400.20,0.6005,0.1119,0.2875
401.40,0.6011,0.1109,0.2880
402.00,0.6011,0.1109,0.2880
401.60,0.6087,0.1079,0.2835
401.80,0.6087,0.1079,0.2835
402.00,0.6068,0.1106,0.2826
401.80,0.6068,0.1106,0.2826
401.20,0.6074,0.1113,0.2813
401.80,0.6074,0.1113,0.2813
401.40,0.6088,0.1122,0.2790
400.60,0.6088,0.1122,0.2790
400.40,0.6087,0.1135,0.2778
400.80,0.6087,0.1135,0.2778
400.00,0.6017,0.1179,0.2804
400.20,0.6017,0.1179,0.2804
400.20,0.6017,0.1162,0.2821
399.60,0.6017,0.1162,0.2821
399.00,0.5993,0.1182,0.2826
399.00,0.5993,0.1182,0.2826
399.00,0.5999,0.1189,0.2812
399.40,0.5999,0.1189,0.2812
399.60,0.5969,0.1206,0.2825
400.40,0.5969,0.1206,0.2825
400.60,0.5964,0.1206,0.2831
400.80,0.5964,0.1206,0.2831
400.60,0.5976,0.1220,0.2805
399.60,0.5976,0.1220,0.2805
400.00,0.6029,0.1212,0.2758
400.60,0.6029,0.1212,0.2758
400.20,0.6065,0.1202,0.2734
400.60,0.6065,0.1202,0.2734
400.80,0.6118,0.1194,0.2688
400.20,0.6118,0.1194,0.2688
399.80,0.6118,0.1194,0.2688
400.20,0.6118,0.1194,0.2688
400.00,0.6112,0.1187,0.2701
400.80,0.6112,0.1187,0.2701
400.40,0.6100,0.1191,0.2709
400.60,0.6100,0.1191,0.2709
402.00,0.6077,0.1198,0.2725
402.20,0.6077,0.1198,0.2725
401.40,0.6054,0.1205,0.2741
402.40,0.6054,0.1205,0.2741
402.00,0.6036,0.1201,0.2763
400.60,0.6036,0.1201,0.2763
399.80,0.6042,0.1209,0.2749
400.40,0.6042,0.1209,0.2749
399.80,0.6012,0.1209,0.2779
400.00,0.6012,0.1209,0.2779
400.00,0.6024,0.1205,0.2771
400.60,0.6024,0.1205,0.2771
401.00,0.6006,0.1201,0.2793
400.60,0.6006,0.1201,0.2793
399.80,0.6048,0.1198,0.2754
399.00,0.6048,0.1198,0.2754
398.20,0.6060,0.1194,0.2746
398.00,0.6060,0.1194,0.2746
398.00,0.6090,0.1194,0.2716
398.60,0.6090,0.1194,0.2716
399.20,0.6090,0.1194,0.2716
399.80,0.6090,0.1194,0.2716
400.00,0.6119,0.1194,0.2687
400.20,0.6119,0.1194,0.2687
400.60,0.6119,0.1194,0.2687
400.20,0.6119,0.1194,0.2687
401.20,0.6119,0.1194,0.2687
400.80,0.6119,0.1194,0.2687
401.20,0.6119,0.1194,0.2687
400.80,0.6119,0.1194,0.2687
400.80,0.6119,0.1194,0.2687
399.80,0.6119,0.1194,0.2687
399.80,0.6119,0.1194,0.2687
399.60,0.6119,0.1194,0.2687
400.40,0.6119,0.1194,0.2687
399.20,0.6119,0.1194,0.2687
399.60,0.6101,0.1191,0.2708
400.00,0.6101,0.1191,0.2708
400.20,0.6072,0.1191,0.2738
399.40,0.6072,0.1191,0.2738
400.80,0.6042,0.1191,0.2768
401.00,0.6042,0.1191,0.2768
400.60,0.6024,0.1174,0.2802
400.00,0.6024,0.1174,0.2802
400.20,0.6007,0.1157,0.2836
399.60,0.6007,0.1157,0.2836
399.00,0.6007,0.1144,0.2849
399.20,0.6007,0.1144,0.2849
399.20,0.6007,0.1131,0.2862
399.20,0.6007,0.1131,0.2862
400.20,0.6000,0.1111,0.2889
400.80,0.6000,0.1111,0.2889
400.40,0.5981,0.1108,0.2911
400.60,0.5981,0.1108,0.2911
409.60,0.5968,0.1111,0.2920
408.80,0.5968,0.1111,0.2920
408.80,0.5950,0.1108,0.2943
408.80,0.5950,0.1108,0.2943
409.00,0.6029,0.1094,0.2877
399.80,0.6029,0.1094,0.2877
400.60,0.6106,0.1111,0.2783
400.40,0.6106,0.1111,0.2783
399.00,0.6191,0.1104,0.2705
399.00,0.6191,0.1104,0.2705
399.80,0.6270,0.1090,0.2639
399.80,0.6270,0.1090,0.2639
399.40,0.6366,0.1081,0.2553
401.60,0.6366,0.1081,0.2553
401.40,0.6377,0.1077,0.2545
399.60,0.6377,0.1077,0.2545
399.40,0.6377,0.1077,0.2545
399.60,0.6377,0.1077,0.2545
399.40,0.6369,0.1101,0.2530
400.00,0.6369,0.1101,0.2530
401.80,0.6361,0.1124,0.2515
401.80,0.6361,0.1124,0.2515
407.40,0.6353,0.1147,0.2500
406.40,0.6353,0.1147,0.2500
405.80,0.6334,0.1173,0.2493
405.20,0.6334,0.1173,0.2493
405.20,0.6345,0.1170,0.2486
400.40,0.6345,0.1170,0.2486
401.40,0.6355,0.1166,0.2478
401.40,0.6355,0.1166,0.2478
401.60,0.6366,0.1163,0.2471
402.00,0.6366,0.1163,0.2471
400.20,0.6366,0.1163,0.2471
399.60,0.6366,0.1163,0.2471
399.20,0.6351,0.1178,0.2471
398.60,0.6351,0.1178,0.2471
396.40,0.6326,0.1196,0.2478
397.60,0.6326,0.1196,0.2478
398.00,0.6301,0.1214,0.2486
396.80,0.6301,0.1214,0.2486
397.00,0.6258,0.1228,0.2513
400.20,0.6258,0.1228,0.2513
398.00,0.6216,0.1243,0.2541
398.20,0.6216,0.1243,0.2541
