capacitity,red,green,blue
486.80,0.1667,0.3333,0.5000
486.20,0.1667,0.3333,0.5000
486.00,0.1667,0.3333,0.5000
486.60,0.1667,0.3333,0.5000
486.80,0.1667,0.3333,0.5000
485.60,0.1667,0.3333,0.5000
486.20,0.1667,0.3333,0.5000
486.00,0.1667,0.3333,0.5000
484.80,0.1667,0.3333,0.5000
484.40,0.1667,0.3333,0.5000
484.20,0.1667,0.3333,0.5000
484.20,0.1667,0.3333,0.5000
483.80,0.1667,0.3333,0.5000
485.40,0.1667,0.3333,0.5000
485.40,0.1667,0.3333,0.5000
485.20,0.1667,0.3333,0.5000
485.20,0.1667,0.3333,0.5000
485.60,0.1667,0.3333,0.5000
486.00,0.1667,0.3333,0.5000
486.60,0.1667,0.3333,0.5000
486.60,0.1667,0.3333,0.5000
486.40,0.1667,0.3333,0.5000
486.80,0.1667,0.3333,0.5000
484.60,0.1667,0.3333,0.5000
484.00,0.1667,0.3333,0.5000
484.60,0.1667,0.3333,0.5000
484.80,0.1667,0.3333,0.5000
484.80,0.1667,0.3333,0.5000
485.40,0.1667,0.3333,0.5000
486.20,0.1667,0.3333,0.5000
486.60,0.1667,0.3333,0.5000
486.60,0.1667,0.3333,0.5000
486.40,0.1667,0.3333,0.5000
487.60,0.1667,0.3333,0.5000
487.60,0.1667,0.3333,0.5000
487.00,0.1667,0.3333,0.5000
486.80,0.1667,0.3333,0.5000
486.40,0.1667,0.3333,0.5000
480.80,0.1667,0.3333,0.5000
479.80,0.1667,0.3333,0.5000
480.60,0.1667,0.3333,0.5000
480.80,0.1667,0.3333,0.5000
481.80,0.1667,0.3333,0.5000
486.60,0.1667,0.3333,0.5000
487.20,0.1667,0.3333,0.5000
486.00,0.1667,0.3333,0.5000
485.00,0.1667,0.3333,0.5000
484.00,0.1667,0.3333,0.5000
484.00,0.1667,0.3333,0.5000
483.40,0.1667,0.3333,0.5000
484.60,0.1667,0.3333,0.5000
485.40,0.1667,0.3333,0.5000
485.60,0.1667,0.3333,0.5000
485.20,0.1667,0.3333,0.5000
485.40,0.1667,0.3333,0.5000
484.20,0.1667,0.3333,0.5000
486.40,0.1667,0.3333,0.5000
486.00,0.1667,0.3333,0.5000
486.40,0.1667,0.3333,0.5000
486.00,0.1667,0.3333,0.5000
486.20,0.1667,0.3333,0.5000
484.40,0.1667,0.3333,0.5000
484.60,0.1667,0.3333,0.5000
484.40,0.1667,0.3333,0.5000
484.80,0.1667,0.3333,0.5000
478.20,0.1667,0.3333,0.5000
478.00,0.1667,0.3333,0.5000
478.60,0.1667,0.3333,0.5000
479.20,0.1667,0.3333,0.5000
476.80,0.1667,0.3333,0.5000
483.40,0.1667,0.3333,0.5000
484.20,0.1667,0.3333,0.5000
483.80,0.1667,0.3333,0.5000
483.60,0.1667,0.3333,0.5000
485.40,0.1667,0.3333,0.5000
484.00,0.1667,0.3333,0.5000
482.80,0.1667,0.3333,0.5000
482.80,0.1667,0.3333,0.5000
482.60,0.1667,0.3333,0.5000
483.20,0.1667,0.3333,0.5000
484.60,0.1667,0.3333,0.5000
486.60,0.1667,0.3333,0.5000
486.60,0.1667,0.3333,0.5000
486.20,0.1667,0.3333,0.5000
486.80,0.1667,0.3333,0.5000
487.20,0.1667,0.3333,0.5000
484.80,0.1667,0.3333,0.5000
484.80,0.1667,0.3333,0.5000
485.60,0.1667,0.3333,0.5000
484.80,0.1667,0.3333,0.5000
484.40,0.1667,0.3333,0.5000
485.20,0.1667,0.3333,0.5000
485.40,0.1667,0.3333,0.5000
484.00,0.1667,0.3333,0.5000
484.60,0.1667,0.3333,0.5000
484.80,0.1667,0.3333,0.5000
484.00,0.1667,0.3333,0.5000
484.20,0.1667,0.3333,0.5000
485.60,0.1667,0.3333,0.5000
485.20,0.1667,0.3333,0.5000
485.20,0.1667,0.3333,0.5000
485.60,0.1667,0.3333,0.5000
485.80,0.1667,0.3333,0.5000
485.20,0.1667,0.3333,0.5000
485.80,0.1667,0.3333,0.5000
486.40,0.1667,0.3333,0.5000
486.60,0.1667,0.3333,0.5000
486.20,0.1667,0.3333,0.5000
487.60,0.1667,0.3333,0.5000
488.40,0.1667,0.3333,0.5000
487.40,0.1667,0.3333,0.5000
487.60,0.1667,0.3333,0.5000
486.60,0.1667,0.3333,0.5000
485.60,0.1667,0.3333,0.5000
485.20,0.1667,0.3333,0.5000
486.40,0.1667,0.3333,0.5000
486.40,0.1667,0.3333,0.5000
487.20,0.1667,0.3333,0.5000
486.60,0.1667,0.3333,0.5000
486.00,0.1667,0.3333,0.5000
485.00,0.1667,0.3333,0.5000
485.20,0.1667,0.3333,0.5000
