capacitity,red,green,blue
416.60,0.3189,0.3309,0.3501
421.20,0.3189,0.3309,0.3501
420.00,0.3189,0.3309,0.3501
418.60,0.3198,0.3294,0.3509
418.00,0.3198,0.3294,0.3509
418.00,0.3215,0.3286,0.3499
408.80,0.3215,0.3286,0.3499
413.60,0.3239,0.3287,0.3474
413.40,0.3239,0.3287,0.3474
414.60,0.3247,0.3294,0.3459
414.40,0.3247,0.3294,0.3459
419.40,0.3247,0.3294,0.3459
415.40,0.3247,0.3294,0.3459
415.60,0.3239,0.3310,0.3451
415.60,0.3239,0.3310,0.3451
415.40,0.3230,0.3325,0.3444
415.60,0.3230,0.3325,0.3444
415.20,0.3223,0.3318,0.3460
415.60,0.3223,0.3318,0.3460
414.00,0.3231,0.3302,0.3467
413.40,0.3231,0.3302,0.3467
412.60,0.3232,0.3302,0.3466
412.40,0.3232,0.3302,0.3466
412.60,0.3233,0.3302,0.3465
414.00,0.3233,0.3302,0.3465
414.60,0.3241,0.3287,0.3472
416.40,0.3241,0.3287,0.3472
416.40,0.3233,0.3302,0.3464
416.00,0.3233,0.3302,0.3464
415.80,0.3225,0.3318,0.3457
416.80,0.3225,0.3318,0.3457
415.60,0.3233,0.3302,0.3465
415.80,0.3233,0.3302,0.3465
417.00,0.3239,0.3286,0.3474
417.20,0.3239,0.3286,0.3474
416.60,0.3247,0.3294,0.3460
417.00,0.3247,0.3294,0.3460
416.80,0.3246,0.3294,0.3460
415.40,0.3246,0.3294,0.3460
415.40,0.3246,0.3294,0.3460
415.20,0.3246,0.3294,0.3460
414.40,0.3246,0.3294,0.3460
414.40,0.3246,0.3294,0.3460
414.80,0.3247,0.3294,0.3459
414.20,0.3247,0.3294,0.3459
414.80,0.3232,0.3302,0.3466
415.00,0.3232,0.3302,0.3466
415.20,0.3240,0.3287,0.3473
415.00,0.3240,0.3287,0.3473
416.60,0.3241,0.3287,0.3472
416.40,0.3241,0.3287,0.3472
416.60,0.3225,0.3294,0.3481
416.40,0.3225,0.3294,0.3481
416.40,0.3209,0.3302,0.3489
415.40,0.3209,0.3302,0.3489
415.40,0.3201,0.3294,0.3505
415.60,0.3201,0.3294,0.3505
415.00,0.3185,0.3302,0.3513
414.60,0.3185,0.3302,0.3513
414.40,0.3176,0.3294,0.3529
414.60,0.3176,0.3294,0.3529
414.40,0.3185,0.3302,0.3513
415.00,0.3185,0.3302,0.3513
415.80,0.3193,0.3310,0.3497
416.60,0.3193,0.3310,0.3497
416.60,0.3201,0.3318,0.3482
416.60,0.3201,0.3318,0.3482
416.80,0.3201,0.3318,0.3482
416.40,0.3201,0.3318,0.3482
415.60,0.3208,0.3325,0.3466
415.40,0.3208,0.3325,0.3466
421.80,0.3208,0.3325,0.3467
421.80,0.3208,0.3325,0.3467
421.20,0.3207,0.3325,0.3468
421.80,0.3207,0.3325,0.3468
422.40,0.3207,0.3325,0.3468
416.00,0.3207,0.3325,0.3468
416.20,0.3214,0.3333,0.3452
416.80,0.3214,0.3333,0.3452
416.40,0.3215,0.3333,0.3452
415.60,0.3215,0.3333,0.3452
415.80,0.3208,0.3325,0.3467
415.40,0.3208,0.3325,0.3467
415.20,0.3200,0.3318,0.3482
414.80,0.3200,0.3318,0.3482
415.20,0.3201,0.3318,0.3482
415.80,0.3201,0.3318,0.3482
415.60,0.3201,0.3318,0.3482
416.00,0.3201,0.3318,0.3482
417.20,0.3192,0.3310,0.3498
